"name_de";"nummer";"lager_menge_total1";"lagerartikel";"lager_platz1"
"Horizontal faltbare Seitengitter für Modell Stockholm";"1001359";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Adapterkabel MAS auf MOLEX (Linea)";"1001360";"10";"1";"HMW-Lagerplatz1"
"Anzahlung";"1001361";"0";"0";"HMW-Lagerplatz1"
"Ayurveda Keil";"1001362";"0";"0";"HMW-Lagerplatz1"
"(inaktiv)Ayurveda Polsterplatte 1-Segment";"1001363";"0";"0";"HMW-Lagerplatz1"
"Leihgebühr R-Shock, monatlich";"1001364";"0";"0";"HMW-Lagerplatz1"
"Testartikel";"1001365";"20";"0";"HMW-Lagerplatz1"
"Leihliege Economy";"1001366";"783";"1";"HMW-Lagerplatz1"
"Kunstlederhaut für Schwedenliege fertig konfektioniert";"1001367";"0";"0";"HMW-Lagerplatz1"
"Mittel-Kopfteil 40/90° 1-tlg. mit Gesichtsausschnitt, ohne Armablagen und Liegefläche";"1001368";"0";"0";"HMW-Lagerplatz1"
"Kopfteil 40/90° 3-tlg. mit Gesichtsausschnitt und Armablagen, ohne Liegefläche";"1001369";"0";"0";"HMW-Lagerplatz1"
"Schulung für WaveMotion";"1001370";"0";"0";"HMW-Lagerplatz1"
"Tragetasche Luxus für Linea Physio 65 cm";"1001371";"198";"1";"HMW-Lagerplatz1"
"Tragetasche Luxus für Linea Physio 75 cm";"1001372";"265";"1";"HMW-Lagerplatz1"
"(Polster) Polsterplatte 4-Segment mit 40/90° Kopfteil und Armablagen, inkl. Gesichtsausschnitt, rund inkl. Polsterkragen und Fülltablette";"1001373";"0";"0";"HMW-Lagerplatz1"
"Dienstleistung";"1001374";"0";"0";"HMW-Lagerplatz1"
"Erwärmbare Liegefläche für stationäre Massageliegen (Havanna, Ambra Fix, Stabilo)";"1001375";"0";"0";"HMW-Lagerplatz1"
"(Polster) Polsterkragen für Oslo";"1001376";"3";"0";"HMW-Lagerplatz1"
"Vollrolle Meden, 60 x 15 cm";"1001377";"1";"0";"HMW-Lagerplatz1"
"Halbrolle Meden, 60 x 15 x 10 cm";"1001378";"1";"0";"HMW-Lagerplatz1"
"(Polster) Fülltablette für Oslo";"1001379";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder, PISA braun 05, Rollenware ca. 137 cm breit";"1001380";"0";"0";"HMW-Lagerplatz1"
"(Polster) Polsterplatte 1-Segment für stationäre Liegen";"1001381";"0";"0";"HMW-Lagerplatz1"
"Palette, 200 x 80 cm";"1001383";"20";"0";"HMW-Lagerplatz1"
"Palette, 120 x 80 cm";"1001384";"30";"0";"HMW-Lagerplatz1"
"Karton für Rollhocker Posto";"1001385";"0";"0";"HMW-Lagerplatz1"
"Faltkiste zu Karton für Rollhocker";"1001386";"0";"0";"HMW-Lagerplatz1"
"Zulieferung Helinski";"1001387";"0";"0";"HMW-Lagerplatz1"
"Leihliege LINEA";"1001388";"0";"1";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder, CLASSIC crema, Rollenware ca. 137 cm breit";"1001389";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder, CLASSIC burgund, Rollenware ca. 137 cm  breit";"1001390";"0";"0";"HMW-Lagerplatz1"
"Zulieferung Warnke";"1001391";"0";"0";"HMW-Lagerplatz1"
"Klangmassageliegen Set nach Peter Hess";"1001392";"0";"0";"HMW-Lagerplatz1"
"Leihgebühr 3SE, monatlich";"1001393";"0";"0";"HMW-Lagerplatz1"
"Warenwertgutschein ";"1001394";"0";"0";"HMW-Lagerplatz1"
"Sternumpolster Ultralight";"1001395";"0";"0";"HMW-Lagerplatz1"
"Linea Akku mit Gehäuse";"1001396";"4";"0";"HMW-Lagerplatz1"
"(Polster) Polsterkragen für Matera";"1001397";"0";"0";"HMW-Lagerplatz1"
"Erwärmbare Liegefläche für Modell Matera";"1001398";"1";"0";"HMW-Lagerplatz1"
"Aufpreis für Liegenbreite 80 cm für Modell Matera";"1001399";"1";"0";"HMW-Lagerplatz1"
"Rollhocker SOLO";"1001401";"20";"1";"HMW-Lagerplatz1"
"Checkup bei WINBACK";"1001402";"0";"0";"HMW-Lagerplatz1"
"Reparatur bei WINBACK - repair";"1001403";"0";"0";"HMW-Lagerplatz1"
"Erwärmbare Liegefläche für Modell WaveMotion";"1001404";"0";"0";"HMW-Lagerplatz1"
"Black Edition Untergestell für Wave Motion";"1001405";"0";"0";"HMW-Lagerplatz1"
"zusätzlicher Fußschalter für Modell WaveMotion inkl. Luftschlauch und Adapter (T-Stück)";"1001406";"0";"0";"HMW-Lagerplatz1"
"Radhebesatz für Modell WaveMotion";"1001407";"0";"0";"HMW-Lagerplatz1"
"Sperrbox in Stromzufuhr für Modell WaveMotion";"1001408";"0";"0";"HMW-Lagerplatz1"
"Kopfstütze Ergo, Farbe nach Wahl";"1001409";"0";"0";"HMW-Lagerplatz1"
"Tragetasche Luxus, 192 x 70 cm";"1001410";"96";"1";"HMW-Lagerplatz1"
"Fußschalter Primo";"1001411";"0";"0";"HMW-Lagerplatz1"
"Weiterberechnung der Versandkosten";"1001413";"0";"0";"HMW-Lagerplatz1"
"(Polster) Polsterkragen für Modell WaveMotion";"1001414";"0";"0";"HMW-Lagerplatz1"
"Handschalter LINEA, Netzbetrieb";"1001415";"1";"0";"HMW-Lagerplatz1"
"Steuerung LINEA, Netzbetrieb";"1001416";"0";"0";"HMW-Lagerplatz1"
"monatliche Mobilitätspauschale";"1001417";"0";"0";"HMW-Lagerplatz1"
"Luxuspolsterung 60mm, 3-lagig, weich für mobile Liegen";"1001422";"0";"0";"HMW-Lagerplatz1"
"Gesichtsausschnitt (inkl. Polsterkragen und Fülltablette) für mobile Liegen";"1001424";"0";"0";"HMW-Lagerplatz1"
"Steckdose im Rahmen zusätzlich";"1001426";"0";"0";"HMW-Lagerplatz1"
"aufgepolsterter Rand";"1001427";"0";"0";"HMW-Lagerplatz1"
"Liegenverlängerung mit gekürzten Stäben für Modell: HAVANNA-Ayurveda 2 Segment";"1001448";"0";"0";"HMW-Lagerplatz1"
"Aufpreis Liegenverlängerung in Liegenbreite / Sonderanfertigung";"1001449";"0";"0";"HMW-Lagerplatz1"
"Kopfstützenklotz für stationäre Modelle mit Schrauben";"1001450";"0";"0";"HMW-Lagerplatz1"
"Schonüberzug ölresistent aus Softskin mit Führungsrüssel für Gesichtsausschnitt";"1001451";"0";"0";"HMW-Lagerplatz1"
"Armablage, gepolstert, Kork";"1001452";"0";"0";"HMW-Lagerplatz1"
"Leihgebühr 1S, monatlich";"1001453";"0";"0";"HMW-Lagerplatz1"
"Basisstation für Caldera Wärmegerät";"1001454";"0";"0";"HMW-Lagerplatz1"
"Griffschlaufen-Set für Clap Tzu Pro Massageliege";"1001455";"0";"0";"HMW-Lagerplatz1"
"Weiterberechnung der Reparaturkosten";"1001456";"0";"0";"HMW-Lagerplatz1"
"Versand Express DPD";"1001458";"0";"0";"HMW-Lagerplatz1"
"Trio Sitztablette";"1001459";"0";"0";"HMW-Lagerplatz1"
"Abo Eco Schüler-Liege";"1001460";"0";"0";"HMW-Lagerplatz1"
"erwärmbare Liegefläche mit drei Heizzonen für mobile Liegen";"1001461";"0";"0";"HMW-Lagerplatz1"
"Polsterplatte Ayurveda mit Ölablaufrinne für Stirnguss";"1001462";"0";"0";"HMW-Lagerplatz1"
"Diversartikel Nordenham";"1001463";"4978";"0";"HMW-Lagerplatz1"
"Feststellschraube für Classic Set";"1001464";"973";"0";"HMW-Lagerplatz1"
"WINBACK Therapiegerät BACK 4";"1001465";"0";"0";"HMW-Lagerplatz1"
"Gutschrift";"1001466";"0";"0";"HMW-Lagerplatz1"
"Kopfteil für Matera 4-Segmente ohne Armablagen";"1001467";"0";"0";"HMW-Lagerplatz1"
"(Polster) Übergangslappen für Matera";"1001468";"0";"0";"HMW-Lagerplatz1"
"Karton, leer - Leerkarton für Mobile Liege";"1001469";"0";"0";"HMW-Lagerplatz1"
"(Polster) Fülltablette für WaveMotion Ellipse";"1001470";"0";"0";"HMW-Lagerplatz1"
"Schonüberzug ölresistent - waschbar (freie Spezifikationen)";"1001471";"0";"0";"HMW-Lagerplatz1"
"Polsterkragen mit PU-Bezug";"1001472";"0";"0";"HMW-Lagerplatz1"
"Therapieliege OSLO 4-Segmente ()";"1001473";"0";"0";"HMW-Lagerplatz1"
"Teller Sitztablette";"1001474";"0";"0";"HMW-Lagerplatz1"
"Trio-Sitztablette für Hocker mit Ringauslösung";"1001475";"0";"0";"HMW-Lagerplatz1"
"Feststellschraube für Stabilo-Beinverlängerung";"1001476";"0";"0";"HMW-Lagerplatz1"
"Armablage, gepolstert";"1001477";"0";"0";"HMW-Lagerplatz1"
"Radhebesatz für Modell Oslo Bobath";"1001478";"0";"0";"HMW-Lagerplatz1"
"Fülltablette für stationäre Massageliegen";"1001479";"0";"0";"HMW-Lagerplatz1"
